,Index,Organism,Species,Type (Viral),Enveloped (Viral),Strain,Medium,Medium (specific),wavelength [nm],Light source,k1 [cm2/mJ],k2 [cm2/mJ],% resistant,Log-reduction dose [mJ/cm2],,k1 error,k2 error,Ref,Full Citation
,333,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,230,Tunable Laser,1.15,,,2,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,370,Virus,Human coronavirus ,ssRNA+,Yes,SARS-CoV-2 (hCoV-19/46059T/2020),Liquid,100x PBS,222,Filtered KrCl (USHIO),1.04,,,2.21,,0.05,,96,Hiroki Kitagawa - 1st International Congress on Far-UVC Science and Technology
,302,Virus,Phage T7,dsDNA,No,ATCC -BAA1025B2,Liquid,-,220,Tunable Laser,1.05,,,2.2,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,334,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,220,Tunable Laser,1.32,,,1.75,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,325,Virus,Phage PhiX174,ssDNA,No,-,Liquid,PBS,230,,1.05,,,2.2,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,374,Virus,Human coronavirus,ssRNA+,Yes,SARS-CoV-2 (hCoV-19/46059T/2020),Surface,,222,Filtered KrCl (USHIO),1.05,,,2.19,,0.06,,96,Hiroki Kitagawa - 1st International Congress on Far-UVC Science and Technology
,395,Virus,Human coronavirus,ssRNA+,Yes,HCoV 229E,Liquid,PBS,222,"Filtered KrCl (USHIO, Far UV Technologies)",1.06,,,2.17,,0.04,,100,"Ma, Ben, Kelly Bright, Luisa Ikner, Christian Ley, Saba Seyedi, Charles P. Gerba, Mark D. Sobsey, Patrick Piper, and Karl G. Linden. “UV Inactivation of Common Pathogens and Surrogates Under 222 Nm Irradiation from KrCl* Excimer Lamps.” Photochemistry and Photobiology 99, no. 3 (2023): 975–82. https://doi.org/10.1111/php.13724."
,335,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,230,Tunable Laser,0.93,,,2.48,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,258,Virus,Adenovirus,dsDNA,No,ATCCVR846,Liquid,PBS,210,,1.08,,,2.13,,,,35,"Beck SE, Rodriguez RA, Linden KG, Hargy TM, Larason TC, Wright H. Wavelength dependent UV inactivation and DNA damage of adenovirus as measured by cell culture infectivity and long range quantitative PCR. Environ Sci Technol.2014;48(1):591-8. DOI:10.1021/es403850"
,303,Virus,Phage T7,dsDNA,No,ATCC -11302B38 (m),Liquid,-,220,Tunable Laser,1.10,,,2.1,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,336,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,240,Tunable Laser,1.09,,,2.11,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,282,Virus,Phage T1,dsDNA,No,-,Surface,vacuum,210,LP Mercury,1.12,,,2.06,,,,86,"Maezawa H, Ito T, HiedaK, Kobayashi K, Ito A, Mori T, SuzukiK. Action spectra for inactivation of dry phage T1 after monochromatic (150-254nm) synchrotron irradiationin the presenceand absence of photoreactivation and dark repair. RadiatRes. 1984 May;98(2):227-33."
,337,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,240,Tunable Laser,0.93,,,2.48,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,326,Virus,Phage PhiX174,ssDNA,No,-,Liquid,PBS,254,,1.12,,,2.06,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,338,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,240,Tunable Laser,0.85,,,2.7,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,291,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,210,Tunable Laser,1.13,,,2.03,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,339,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,260,Tunable Laser,2.42,,,0.95,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,280,Virus,Influenza virus,ssRNA-,Yes,H1N1,Aerosol,RH55 %,222,"Filtered KrCl (USHIO), bank of 3 lamps",1.80,,,1.28,,,,13,"Welch D, Buonanno M, Grilj V, Shuryak I, Crickmore C, Bigelow AW, Randers-Pehrson G, Johnson GW, Brenner DJ. Far-UVC light: A new tool to control the spreadof airborne-mediated microbial diseases.Sci Rep. 2018 02;8(1):2752. DOI: 10.1038/s41598-018-21058-w"
,369,Virus,MHV coronavirus,ssRNA+,Yes,-,Liquid,,222,"Unfiltered KrCl (USHIO, Far UV Technologies)",1.22,,,1.89,,0.04,,96,"Ma, Ben, Yarrow S. Linden, Patricia M. Gundy, Charles P. Gerba, Mark D. Sobsey, and Karl G. Linden. “Inactivation of Coronaviruses and Phage Phi6 from Irradiation across UVC Wavelengths.” Environmental Science & Technology Letters 8, no. 5 (May 11, 2021): 425–30. https://doi.org/10.1021/acs.estlett.1c00178."
,340,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,254,Tunable Laser,2.17,,,1.06,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,324,Virus,Phage PhiX174,ssDNA,No,-,Liquid,PBS,225,,1.25,,,1.84,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,326,Virus,Phage T7,dsDNA,No,ATCC -11302B38 (m),Liquid,-,254,Tunable Laser,1.28,,,1.8,,8.4 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
also has values for staph I and staph II,327,Virus,Phage PhiX174,ssDNA,No,-,Liquid,PBS,254,,1.29,,,1.79,,,,90,"Setlow R, Boyce R. The Ultraviolet Light Inactivation of ΦX174 Bacteriophage at Different wave Lengths and pH’s. Biophys J.1960;1:29-41. DOI: 10.1016/S0006-3495(60)86873-7"
,298,Virus,Phage T7,dsDNA,No,ATCC -BAA1025B2,Liquid,-,220,Tunable Laser,1.29,,,1.78,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,398,Virus,Influenza virus,ssRNA-,Yes,A,Liquid,PBS,222,"Filtered KrCl (USHIO, Far UV Technologies)",1.32,,,1.74,,0.08,,100,"Ma, Ben, Kelly Bright, Luisa Ikner, Christian Ley, Saba Seyedi, Charles P. Gerba, Mark D. Sobsey, Patrick Piper, and Karl G. Linden. “UV Inactivation of Common Pathogens and Surrogates Under 222 Nm Irradiation from KrCl* Excimer Lamps.” Photochemistry and Photobiology 99, no. 3 (2023): 975–82. https://doi.org/10.1111/php.13724."
,380,Virus,Human coronavirus,ssRNA+,Yes,HCoV 229E,Liquid,,222,"Unfiltered KrCl (USHIO, Far UV Technologies)",1.33,,,1.73,,0.10,,96,"Ma, Ben, Yarrow S. Linden, Patricia M. Gundy, Charles P. Gerba, Mark D. Sobsey, and Karl G. Linden. “Inactivation of Coronaviruses and Phage Phi6 from Irradiation across UVC Wavelengths.” Environmental Science & Technology Letters 8, no. 5 (May 11, 2021): 425–30. https://doi.org/10.1021/acs.estlett.1c00178."
,342,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,260,Tunable Laser,2.09,,,1.1,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,285,Virus,Phage T1,dsDNA,No,-,Surface,vacuum,230,LP Mercury,1.35,,,1.71,,,,86,"Maezawa H, Ito T, HiedaK, Kobayashi K, Ito A, Mori T, SuzukiK. Action spectra for inactivation of dry phage T1 after monochromatic (150-254nm) synchrotron irradiationin the presenceand absence of photoreactivation and dark repair. RadiatRes. 1984 May;98(2):227-33."
,288,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,210,Tunable Laser,1.38,,,1.67,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,343,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,254,Tunable Laser,1.66,,,1.39,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,299,Virus,Phage T7,dsDNA,No,ATCC -11302B38 (m),Liquid,-,220,Tunable Laser,1.38,,,1.67,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,321,Virus,Phage T7,dsDNA,No,ATCC -11302B38 (m),Liquid,-,220,Tunable Laser,1.44,,,1.6,,8.4 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,344,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,260,Tunable Laser,1.90,,,1.21,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,321,Virus,Phage T7,dsDNA,No,ATCCBAA1025B2,Liquid,-,220,Tunable Laser,1.44,,,1.6,,6.6 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,325,Virus,Phage T7,dsDNA,No,ATCCBAA1025B2,Liquid,-,254,Tunable Laser,1.44,,,1.6,,6.6 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,345,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,254,Tunable Laser,1.52,,,1.51,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,329,Virus,Phage T7,dsDNA,No,ATCC -11302B38 (m),Liquid,-,260,Tunable Laser,1.44,,,1.6,,8.4 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,341,Virus,Phage T7,dsDNA,No,ATCC -11302B38 (m),Liquid,-,270,Tunable Laser,1.44,,,1.6,,8.4 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,346,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,270,Tunable Laser,4.19,,,0.55,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,442,Virus,Phage MS2,ssRNA+,No,,Aerosol,,298,LED,1.54,,,1.50,,0.23,,108,"Y. H. Lu, R. X. Wang, H. L. Liu, and A. C. K. Lai. Environmental Science & Technology 2024 58 (16), 6868-6877. DOI: 10.1021/acs.est.3c08675 "
,295,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,220,Tunable Laser,1.55,,,1.49,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,347,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,270,Tunable Laser,2.15,,,1.07,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,283,Virus,Phage T1,dsDNA,No,-,Surface,vacuum,210,LP Mercury,1.58,,,1.46,,,,86,"Maezawa H, Ito T, HiedaK, Kobayashi K, Ito A, Mori T, SuzukiK. Action spectra for inactivation of dry phage T1 after monochromatic (150-254nm) synchrotron irradiationin the presenceand absence of photoreactivation and dark repair. RadiatRes. 1984 May;98(2):227-33."
,348,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,270,Tunable Laser,2.07,,,1.11,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,327,Virus,Phage T7,dsDNA,No,ATCCBAA1025B2,Liquid,-,260,Tunable Laser,1.64,,,1.4,,6.6 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,331,Virus,Phage T7,dsDNA,No,ATCCBAA1025B2,Liquid,-,270,Tunable Laser,1.64,,,1.4,,6.6 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,349,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,280,Tunable Laser,1.89,,,1.22,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,349,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,210,,3.15,,,0.73,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,350,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,280,Tunable Laser,1.48,,,1.56,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,350,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,220,,2.30,,,1,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,351,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,PBS,216,,0.58,,,4,,,,94,"Linden KG, Shin G, Sobsey MD. Comparative effectiveness of UV wavelengths for the inactivation of Cryptosporidium parvum oocysts in water. Water Sci Technol.2001;43(12):171-4. DOI:10.2166/wst.2001.0731"
,351,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,280,Tunable Laser,1.46,,,1.58,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,352,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,230,,1.61,,,1.43,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,352,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,290,Tunable Laser,1.89,,,1.22,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,353,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,PBS,230,,0.70,,,3.28,,,,94,"Linden KG, Shin G, Sobsey MD. Comparative effectiveness of UV wavelengths for the inactivation of Cryptosporidium parvum oocysts in water. Water Sci Technol.2001;43(12):171-4. DOI:10.2166/wst.2001.0731"
,353,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,290,Tunable Laser,1.48,,,1.56,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
"Checked the source. Found values for 289.4 nm, 265 nm, and 230 nm, but not 254",354,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,290,Tunable Laser,1.46,,,1.58,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,354,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,254,,3.15,,,0.73,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,355,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,PBS,255,,2.17,,,1.06,,,,94,"Linden KG, Shin G, Sobsey MD. Comparative effectiveness of UV wavelengths for the inactivation of Cryptosporidium parvum oocysts in water. Water Sci Technol.2001;43(12):171-4. DOI:10.2166/wst.2001.0731"
,346,Virus,Vaccinia virus,dsDNA,Yes,-,Surface,agar,254,,1.73,,,1.33,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,366,Virus,Human coronavirus,ssRNA+,Yes,SARS-CoV-2 (hCoV-19/46059T/2020),Aerosol,,222,Filtered KrCl (USHIO),1.14,,,2.02,,0.09,,96,Hiroki Kitagawa - 1st International Congress on Far-UVC Science and Technology
,286,Virus,Phage T1,dsDNA,No,-,Surface,vacuum,254,LP Mercury,1.80,,,1.28,,,,86,"Maezawa H, Ito T, HiedaK, Kobayashi K, Ito A, Mori T, SuzukiK. Action spectra for inactivation of dry phage T1 after monochromatic (150-254nm) synchrotron irradiationin the presenceand absence of photoreactivation and dark repair. RadiatRes. 1984 May;98(2):227-33."
,296,Virus,Phage T7,dsDNA,No,ATCC -BAA1025B2,Liquid,-,210,Tunable Laser,1.87,,,1.23,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,318,Virus,Phage T7,dsDNA,No,ATCCBAA1025B2,Liquid,-,210,Tunable Laser,1.92,,,1.2,,6.6 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,297,Virus,Phage T7,dsDNA,No,ATCC -11302B38 (m),Liquid,-,210,Tunable Laser,1.93,,,1.19,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,401,Virus,Phage PhiX174,ssDNA,No,,Aerosol,,280,LED,2.02,,,1.14,,0.22,,101,"Kim DK, Kang DH. UVC LED Irradiation Effectively Inactivates Aerosolized Viruses, Bacteria, and Fungi in a Chamber-Type Air Disinfection System. Appl Environ Microbiol. 2018 Aug 17;84(17):e00944-18. doi: 10.1128/AEM.00944-18. PMID: 29959245; PMCID: PMC6102977."
,384,Virus,Human coronavirus,ssRNA+,Yes,NL63,Liquid,,254,Collimated low-pressure mercury,2.05,,,1.12,,,,98,"Li, Lily X., Ruth H. Nissly, Anand Swaminathan, Ian M. Bird, Nina R. Boyle, Meera Surendran Nair, Denver I. Greenawalt, et al. “Inactivation of HCoV-NL63 and SARS-CoV-2 in Aqueous Solution by 254 Nm UV-C.” Journal of Photochemistry and Photobiology B: Biology 245 (August 1, 2023): 112755. https://doi.org/10.1016/j.jphotobiol.2023.112755."
,347,Virus,Vesicular stomatitis virus,ssRNA-,Yes,-,Liquid,PBS,225,,2.06,,,1.12,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,385,Virus,Human coronavirus,ssRNA+,Yes,SARS-CoV-2,Liquid,,254,Collimated low-pressure mercury,2.10,,,1.10,,,,98,"Li, Lily X., Ruth H. Nissly, Anand Swaminathan, Ian M. Bird, Nina R. Boyle, Meera Surendran Nair, Denver I. Greenawalt, et al. “Inactivation of HCoV-NL63 and SARS-CoV-2 in Aqueous Solution by 254 Nm UV-C.” Journal of Photochemistry and Photobiology B: Biology 245 (August 1, 2023): 112755. https://doi.org/10.1016/j.jphotobiol.2023.112755."
,348,Virus,Vesicular stomatitis virus,ssRNA-,Yes,-,Liquid,PBS,254,,2.17,,,1.06,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,281,Virus,Influenza virus,ssRNA-,Yes,H1N1,Aerosol,RH 81-84%,254,LP Mercury,2.20,,,1.05,,0.2,,85,"McDevitt JJ, Rudnick SN, Radonovich LJ. Aerosol susceptibility of influenza virus to UV-C light. Appl Environ Microbiol. 2012 Mar;78(6):1666-9.DOI: 10.1128/AEM.06960-11"
,416,Virus,Phage T7,dsDNA,No,,Aerosol,RH 85%,254,LP Mercury,2.2,,,1.05,,,,104,"Tseng, C.C.; Li, C.S. Inactivation of virus-containing aerosols by ultraviolet germicidal irradiation. Aerosol Sci. Technol. 2005, 39, 1136–1142."
,406,Virus,Phage MS2,ssRNA+,No,,Aerosol,Deionized water,222,Filtered KrCl (USHIO B1),0.22,,,10.32,,,,102,Katherine Ratliff - 1st International Congress on Far-UVC Science and Technology - YouTube
,293,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,210,Tunable Laser,2.37,,,0.97,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,274,Virus,Herpes simplex virus,dsDNA,Yes,-,Liquid,PBS,225,,2.40,,,0.96,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,320,Virus,Phage T7,dsDNA,No,ATCC -11302B38 (m),Liquid,-,210,Tunable Laser,2.45,,,0.94,,8.4 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,293,Virus,Phage T2,dsDNA,No,-,Liquid,PBS,225,,2.50,,,0.92,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,281,Virus,Influenza virus,ssRNA-,Yes,H1N1,Aerosol,RH 50-54%,254,LP Mercury,2.70,,,0.85,,0.1,,85,"McDevitt JJ, Rudnick SN, Radonovich LJ. Aerosol susceptibility of influenza virus to UV-C light. Appl Environ Microbiol. 2012 Mar;78(6):1666-9.DOI: 10.1128/AEM.06960-11"
,281,Virus,Influenza virus,ssRNA-,Yes,H1N1,Aerosol,RH 25-27%,254,LP Mercury,2.90,,,0.79,,0.2,,85,"McDevitt JJ, Rudnick SN, Radonovich LJ. Aerosol susceptibility of influenza virus to UV-C light. Appl Environ Microbiol. 2012 Mar;78(6):1666-9.DOI: 10.1128/AEM.06960-11"
